location,title,time,pay,last registerd
울산 남구,[FOLDER 울산업스퀘어점] 주 5일(9시간) 스텝 모집,시간협의,"시급8,720",27분전
경기 의정부,[스파오 의정부점] 주 2일(14시간) STAFF 모집,시간협의,"시급8,720",1시간전
경기 부천시,[FOLDER 부천로드점] 주 5일 (9시간) 스텝 모집,시간협의,"시급8,720",1시간전
인천 남동구,[MIXXO 인천점] 주 5일(7시간) 스텝 모집,시간협의,"시급8,720",1시간전
강원 강릉시,[FOLDER 강릉점] 주5일 스텝 모집,10:30~22:00,"시급8,720",2시간전
경기 성남시,[MIXXO 야탑NC점] 주 4/5일(8시간) 스텝 모집,시간협의,"시급8,720",2시간전
경북 포항시,[FOLDER 포항점] 주 5일(9시간) 스텝 모집,11:00~20:00,"시급8,720",2시간전
경기 성남시,[MIXXO 야탑NC점] 주 5일(7시간) 온라인업무 직원 모집,시간협의,"시급8,720",3시간전
경기 수원시,[MIXXO 수원롯데몰점] 주 5일(8시간) 스텝 모집,13:00~22:00,"시급8,720",3시간전
경기 수원시,[FOLDER 롯데수원점] 주 5일 스텝 모집,시간협의,"시급8,720",3시간전
경기 성남시,[MIXXO 분당점] 주 3일(8시간) 스텝 모집,12:00~21:00,"시급8,720",4시간전
서울 중구,"[스파오 명동점] 주 4,5일(24~30시간) STAFF 모집",시간협의,"시급8,720",5시간전
서울 강남구,[MIXXO 강남점] 주 4일(32시간) STAFF 모집,시간협의,"시급8,720",6시간전
경기 성남시,[MIXXO 야탑NC점] 주 5일(7시간) 평일스텝 모집,시간협의,"시급8,720",6시간전
서울 강남구,[MIXXO 강남점] 주 5일(40시간) STAFF 모집,시간협의,"시급8,720",6시간전
부산 부산진,[MIXXO 서면점] 주 3일/4일(24시간/32시간) STAFF 모집,시간협의,"시급8,720",6시간전
경기 고양시,"[MIXXO 삼송점] 주 3,4,5일(7,8시간) 스텝 모집",13:00~22:00,"시급8,720",7시간전
경남 창원시,[스파오 롯데창원점] 주 5일(4시간) STAFF 모집,09:30~14:00,"시급8,720",7시간전
세종 어진동,[스파오 세종AK점] 주 5일(35시간) STAFF 모집,시간협의,"시급8,720",7시간전
서울 성북구,[MIXXO 성신유타점] 주 3/4일(8/6시간) 스텝 모집,시간협의,"시급8,720",7시간전
경기 고양시,[MIXXO 일산점] 주 4일(32시간) 스텝 모집,13:30~22:30,"시급8,720",7시간전
전남 광양시,[MIXXO 광양점] 주 4일(32시간) 스텝 모집,시간협의,"시급8,720",7시간전
전남 광양시,[MIXXO 광양점] 주 3일(24시간) 스탭 모집,12:00~21:00,"시급8,720",7시간전
서울 동대문,[MIXXO 청량리점점] 주 5일/4일/3일 (6시간/8시간) 스텝 모집,시간협의,"시급8,720",7시간전
울산 중구,[FOLDER 울산성남점] 주 5일(9시간) 스텝 모집,시간협의,"시급8,720",8시간전
전북 전주시,[MIXXO 전주점] 주 5일(7시간) 단기스텝 모집,시간협의,"시급8,720",10시간전
인천 남동구,[MIXXO 인천점] 주 5일(7시간) 스텝 모집,시간협의,"시급8,720",03/02
경기 안성시,[MIXXO 안성점] 주 3일(일 8시간) 단기 아르바이트 모집,13:00~22:00,"시급8,720",03/02
세종 어진동,[스파오 세종AK점] 주 3일(21시간) STAFF 모집,시간협의,"시급8,720",03/02
전북 전주시,[MIXXO 전주점] 주 5일 (7간) 스텝 모집,시간협의,"시급8,720",03/02
경기 안산시,[MIXXO 안산점] 주 5일(5시간/7시간) 스텝 모집,시간협의,"시급8,720",03/02
서울 동대문,[MIXXO 청량리점점] 주 5일/4일/3일 (6시간/8시간) 스텝 모집,시간협의,"시급8,720",03/02
경기 성남시,[MIXXO 야탑NC점] 주 5일(7시간) 온라인 직원모집,시간협의,"시급8,720",03/01
서울 관악구,[MIXXO 라붐아울렛점] 주4일(월~금 중 32시간) 스텝 모집,13:00~22:30,"시급8,720",03/01
경기 안성시,[MIXXO 안성점] 주 3일(일 8시간) 아르바이트 모집,시간협의,"시급8,720",03/01
경기 수원시,[스파오 망포점] 주 3일(21시간) STAFF 모집,시간협의,"시급8,720",03/01
경기 안산시,[MIXXO 안산점] 주 5일(5시간/7시간) 스텝 모집,시간협의,"시급8,720",03/01
대구 중구,[MIXXO 동성로점] 단기알바 4일 (8시간) 단기스텝 모집,13:00~22:00,"시급8,720",02/28
경기 하남시,[FOLDER 하남스타필드점] 주 5일(9시간) 스텝 모집,12:00~22:00,"시급8,720",02/28
충북 청주시,[MIXXO 청주 지웰시티점] 주 5일(5시간) 스텝 모집,시간협의,"시급8,720",02/28
