location,title,time,pay,last registerd
전국 전체,"부부직원(30평 살림집제공,공과금지원)및 정식직원을 찾습니다. (세차없음)",시간협의,"연봉48,000,000",2시간전
서울 마포구,"손세차장광택기사및직원,알바모집",08:00~18:00,"월급2,300,000",8시간전
경기 의왕시,【급여240만원】세차직원모집,09:00~19:00,"월급2,400,000",8시간전
경기 의왕시,【급여240만원】세차직원모집,09:00~19:00,"월급2,400,000",8시간전
경기 의정부,금오주유소 평일알바 구함,08:00~13:00,"시급8,720",9시간전
경기 안산시,한대역 셀프주유소 직원모집,09:00~19:00,"월급2,650,000",9시간전
경기 시흥시,sk명성주유소 아르바이트 구합니다.,14:00~19:00,"시급9,000",11시간전
경기 평택시,직원모집,07:00~17:00,"월급2,400,000",11시간전
경기 의왕시,【급여240만원】세차직원모집,09:00~19:00,"월급2,400,000",03/02
경기 의왕시,【급여240만원】세차직원모집,09:00~19:00,"월급2,400,000",03/02
인천 전체,태경주유소 알바 및 직원 모집,11:00~19:00,"시급8,720",03/02
경기 광주시,기름나라주유소 직원 모집,15:00~24:00,"월급2,350,000",03/02
경기 안산시,한대역 주유소 직원모집,09:00~19:00,"월급2,650,000",03/02
경기 포천시,SK태봉주유소에서 같이 일하실 분 모집합니다.,시간협의,"월급2,100,000",03/02
경기 연천군,주유소직원모집,시간협의,"시급8,720",03/02
경기 광주시,서민셀프주유소 세차주말알바 및  홍보알바 모집합니다,시간협의,"시급8,720",03/02
경기 용인시,SK언남신도시 셀프주유소에서 가족을 모십니다,18:00~04:00,"시급8,800",03/01
경기 안산시,한대역 주유소 직원모집 합니다,09:00~19:00,"월급2,650,000",03/01
충남 전체,금광주유소 주유원 구함,08:30~17:30,"월급2,150,000",03/01
광주 서구,셀프주유소 주말 알바 구합니다,15:00~21:00,"시급8,750",03/01
경기 광주시,기름나라주유소 직원 모집,15:00~24:00,"월급2,350,000",02/28
대구 동구,(봉무동) SK국제셀프 주유소 주유원 모집,12:00~18:00,"시급8,720",02/28
대구 동구,(봉무동) SK국제셀프 주유소 주유원 모집,10:00~18:00,"시급8,720",02/28
경기 안산시,셀프주유소 관리자(야간근무) 모집,14:00~01:00,"월급2,600,000",02/27
서울 송파구,"자동세차장 남,여직원모집중(5,10개월 급여인상)",10:00~20:00,"월급2,300,000",02/27
서울 송파구,"자동세차장 남,여직원모집중(5,10개월 급여인상)",10:00~20:00,"월급2,300,000",02/27
경남 양산시,주유원 알바 및 정직원 구합니다.,07:00~13:00,"시급8,720",02/27
경기 안산시,한대역셀프주유소 직원모집,09:00~19:00,"월급2,650,000",02/27
경남 함안군,함안 아라주유소 주유원모집,18:00~21:30,"시급9,000",02/25
경기 오산시,[일9시간/월272만원] KH오산주유소 주유사원 모집,10:00~19:00,"월급2,721,000",02/25
경기 여주시,셀프주유소 주유원 알바생 모집합니다.,16:00~19:00,"시급9,000",02/25
경기 평택시,직원모집,07:00~17:00,"월급2,400,000",02/25
서울 영등포,한경석유(주)경덕sk셀프주유소 오전반 모집(기숙사운영),05:00~15:00,"월급2,450,000",02/24
세종 전체,새롬주유소 주말 알바 구합니다.,10:00~20:30,"시급8,720",02/24
경기 광주시,서민셀프주유소 세차직원 모집합니다 ( 종일/ 오전근무/ 오후근무),08:00~18:00,"시급8,720",02/24
경기 용인시,풍덕천 셀프 주간 정직원 모집,09:00~18:00,"월급2,350,000",02/24
경북 구미시,"상모제일주유소 평일,주말 알바모집",08:00~19:00,"시급8,720",02/23
경기 평택시,직원모집,07:00~17:00,"월급2,400,000",02/23
서울 강남구,주유원 및 세차원 모집,09:00~16:00,"시급8,720",02/23
경기 의정부,주유원모집,시간협의,"월급2,100,000",02/22
