location,title,time,pay,last registerd
경기 고양시,"TGIF 롯데일산점 홀파트 평일,주말 런치,마감조 모집합니다.",17:00~23:00,"시급8,720",45분전
경기 안양시,"TGI.Fridays 롯데평촌점 홀,주방 직원을 모집합니다.",17:30~23:00,"시급8,720",51분전
경기 안양시,TGI.Fridays 롯데평촌점 주방 직원을 모집합니다.,17:30~23:00,"시급8,720",52분전
경기 안양시,"TGI.Fridays 롯데평촌점 홀,주방 직원을 모집합니다.",17:30~23:00,"시급8,720",2시간전
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 주방 직원 모집합니다,17:00~22:30,"시급8,720",4시간전
서울 노원구,TGIF 노원점 [홀서빙] 파트 모집,18:00~21:30,"시급8,720",9시간전
대전 서구,[TGIF롯데대전점] 조리파트 구인합니다.,시간협의,"시급8,720",10시간전
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다,17:00~22:30,"시급8,720",10시간전
경기 파주시,"TGIF 파주아울렛점 홀,주방 파트타임 모집 [초보자가능]",18:00~23:00,"시급8,720",21시간전
대전 서구,"[TGIF롯데대전점] 홀, 주방 근무할 직원 구인합니다.",시간협의,"시급8,720",21시간전
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다,17:00~22:30,"시급8,720",03/01
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다,17:00~22:30,"시급8,720",02/27
경기 용인시,"TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~",시간협의,"시급8,720",02/27
서울 송파구,"TGIF 잠실점 홀서빙,주방조리 모집",00:00~24:00,"시급8,720",02/25
서울 노원구,"TGIF 노원점 [주방, 조리] 파트 모집",18:00~21:30,"시급8,720",02/25
경기 용인시,"TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~",10:00~15:30,"시급8,720",02/24
대전 서구,[TGIF롯데대전점] 조리파트 구인합니다.,시간협의,"시급8,720",02/21
경기 용인시,"TGIF 롯데몰수지점에서 즐겁게 일할 주방,홀 직원 구합니다~~",10:00~15:30,"시급8,720",02/20
