location,title,time,pay,last registerd
대전 동구,대전 우송대점 크라운호프 주방 직원 모집,18:00~04:00,"시급9,000",26분전
대전 유성구,경성주막 1929 대전 관평점 서빙알바 홀관리,06:00~00:00,"시급8,800",26분전
부산 사하구,크라운호프 동아대점 주방보조 모집,20:00~04:00,"월급1,800,000",31분전
경남 김해시,알바구함긴급.시급1만원.25세이상여자분,17:00~03:00,"시급10,000",39분전
광주 북구,크라운호프 첨단2지구점 홀서빙및주방보조 할하실분 찾아요,시간협의,"시급9,000",1시간전
세종 고운동,크라운호프 세종 고운점 주방담당 월급제 직원 구합니다.,17:30~01:30,"월급2,200,000",1시간전
경남 창원시,"상남동 크라운호프 홀서빙 주말(금,토,일) 알바모집",20:00~24:00,"시급9,000",1시간전
서울 강서구,경성주막1929 송정역점  홀써빙 알바 구함 (월화수목) 2일 18~22시,18:00~22:00,"시급8,800",2시간전
서울 강서구,경성주막1929 송정역점  홀써빙 알바 구함 (월화수목) 2일 18~22시,18:00~22:00,"시급8,800",2시간전
서울 강서구,경성주막1929 송정역점  홀써빙 알바 구함 (월화수목) 2일 18~22시,18:00~22:00,"시급8,800",2시간전
서울 강서구,경성주막1929 송정역점  홀써빙 알바 구함 (월화수목) 2일 18~22시,18:00~22:00,"시급8,800",2시간전
충남 천안시,크라운호프 쌍용로데오점 금토 야간알바 구합니다.,24:00~03:00,"시급10,000",2시간전
광주 서구,크라운호프 광주상무점 주말 아르바이트 구합니다즐겁고 가족같은 분위기 ㅎㅎ,20:00~02:00,"시급8,720",2시간전
광주 서구,크라운호프 광주상무점 주방직원구합니다(외국인가능),18:00~02:00,"시급9,000",2시간전
경북 경주시,금복주류 경주용황점 주방직원 구합니다. 외국인가능,17:00~02:00,"월급2,050,000",3시간전
경기 시흥시,크라운호프 시흥신천역점에서 함께하실 아르바이트생 모집,17:00~22:00,"시급9,000",3시간전
경북 김천시,경성주막 김천점 함께하실 주방 직원모집합니다. 마치면 데려다 드립니다,17:00~02:00,"월급2,400,000",3시간전
울산 울주군,크라운호프 울산 덕신점 홀서빙 아르바이트 모집합니다.,시간협의,"시급8,800",3시간전
전북 전주시,크라운호프 송천2호점 함께할 알바분 찾습니다,22:00~03:00,"시급8,720",3시간전
울산 전체,크라운 호프 병영점 홀 파트타임,20:00~01:00,"시급9,000",3시간전
경북 김천시,[주6일] 경성주막 김천점 함께하실 홀서빙 직원모집합니다,17:00~02:00,"월급2,100,000",3시간전
경북 김천시,[주6일] 경성주막 김천점 함께하실 홀서빙 직원모집합니다,17:00~02:00,"월급2,100,000",3시간전
경북 경주시,크라운호프 경주동천점 직원/홀알바 모집중입니다,17:00~02:00,"시급8,720",4시간전
전북 전주시,크라운호프 송천2호점 함께할 알바분 찾습니다,22:00~03:00,"시급8,720",4시간전
전남 나주시,크라운호프 홀서빙 오픈 마감 구합니다,19:00~01:00,"시급9,000",4시간전
전북 익산시,익산 모현2호점 크라운호프 ( 주방보조 남여 알바 모집합니다 ),시간협의,"시급9,000",5시간전
울산 울주군,크라운호프 천상점 홀서빙 모집합니다.,19:30~02:30,"시급8,720",6시간전
울산 남구,크라운호프 울산삼산현대점 평일파트 홀 아르바이트 모집,20:00~11:00,"시급8,720",6시간전
경남 김해시,크라운호프 김해주촌점 홀서빙 구합니다.,17:00~24:00,"시급8,720",7시간전
울산 남구,크라운호프 울산삼산현대점 평일파트 홀 아르바이트 모집,20:00~11:00,"시급8,720",7시간전
광주 서구,크라운호프 쌍촌점 알바 모집,22:00~06:00,"시급8,800",7시간전
광주 서구,크라운호프 쌍촌점 주방 모집,18:00~06:00,"시급8,800",7시간전
경기 시흥시,크라운호프 시흥신천역점에서 함께하실 아르바이트생 모집,17:00~22:00,"시급9,000",8시간전
충남 천안시,크라운호프 천안두정점에서 주말 파트타임을 모집합니다,21:00~01:00,"시급9,000",8시간전
광주 광산구,"크라운호프 신창점 (금,토,일) 홀서빙 가족같은 분위기로 함께해요",시간협의,"시급8,720",8시간전
경기 부천시,[크라운호프 송내영화의거리점] 홀직원 모십니다,시간협의,"월급2,200,000",8시간전
광주 남구,[크라운호프 봉선점]  평일 주방인원 모집합니다,23:00~02:00,"시급9,000",17시간전
경기 성남시,"홀 ,주방 알바구해요",06:00~22:00,"시급9,000",23시간전
경기 김포시,풍무동 크라운호프 주방에서 일하실분 모집합니다.,시간협의,"시급10,000",03/02
충남 천안시,크라운호프 천안두정점에서 직원을 모집합니다,18:00~05:00,"월급2,500,000",03/02
