location,title,time,pay,last registerd
서울 용산구,롭스 이태원점 평일 오전메이트 모집합니다.,11:00~14:00,"시급8,720",37분전
충남 천안시,롭스 천안터미널점에서 평일 오후 메이트를 모집합니다.,12:00~17:00,"시급8,720",1시간전
경북 포항시,롭스 포항점 주말 오후 ＇장기 근무 가능＇한 스텝만을 모집합니다:D,16:30~21:00,"시급8,720",3시간전
경기 용인시,롭스 롯데몰수지점에서 주말 단기 메이트 모집 합니다.,10:30~17:00,"시급8,720",3시간전
부산 기장군,롭스 롯데몰동부산점에서 평일 오전 메이트 모집합니다.,10:00~13:30,"시급8,720",3시간전
경기 용인시,롭스 롯데몰수지점에서 평일 단기 메이트 모집 합니다.,14:00~20:30,"시급8,720",3시간전
서울 송파구,롭스 잠실점 주말 마감 메이트 모집합니다,16:00~22:00,"시급8,720",3시간전
전북 군산시,롭스 군산아울렛점에서 주말 마감 모집합니다.,12:30~20:00,"시급8,720",3시간전
서울 용산구,롭스 이태원점 평일 오전메이트 모집합니다.,11:00~14:00,"시급8,720",03/02
서울 용산구,롭스 이태원점 평일 오전메이트 모집합니다.,11:00~14:00,"시급8,720",03/01
대구 중구,급구)롭스 대구동성로점 평일 메이트 급구,15:30~19:00,"시급8,720",03/01
부산 중구,롭스 광복동점 평일 오픈(12:00~15:00) 아르바이트(중국어)우대,12:00~15:00,"시급8,720",03/01
서울 용산구,롭스 이태원점 평일 오전메이트 모집합니다.,11:00~14:00,"시급8,720",02/28
경기 광명시,[롭스 광명아울렛점] 주말 미들 파트타이머 모집,12:00~16:30,"시급8,720",02/28
경기 수원시,롭스 수원역사점 평일 오전 메이트 모집합니다.,10:00~14:30,"시급10,308",02/28
충남 부여군,롭스 부여아울렛점 평일 오전 메이트 모집합니다.,10:30~15:00,"시급8,720",02/23
