location,title,time,pay,last registerd
서울 광진구,[노브랜드버거 학동역점]주2~5일 근무자 모집(시간/요일 협의),시간협의,"시급8,900",8분전
서울 금천구,(주)신세계푸드 노브랜드버거 시흥사거리점 신규오픈 아르바이트 모집합니다.,시간협의,"시급8,900",8분전
서울 금천구,(주)신세계푸드 노브랜드버거 시흥사거리점 신규오픈 아르바이트 모집합니다.,시간협의,"시급8,900",17분전
서울 전체,보노보노스시 성수점 주방직원  모집,11:00~21:30,"월급2,100,000",37분전
서울 전체,(주)신세계푸드 보노보노 삼성점 조리사 모집(동종업계 경력자 우대),13:00~22:00,"시급8,900",44분전
서울 관악구,[노브랜드버거 학동역점]주2~5일 근무자 모집(시간/요일 협의),시간협의,"시급8,900",1시간전
서울 동작구,[노브랜드버거 학동역점]주2~5일 근무자 모집(시간/요일 협의),시간협의,"시급8,900",1시간전
서울 강남구,노브랜드버거 양재역점,11:00~23:00,"시급8,900",1시간전
경기 김포시,NBB/노브랜드버거 김포장기점/보건증필수/ 월화수목금/토일,18:00~22:00,"시급8,900",1시간전
서울 금천구,(주)신세계푸드 노브랜드버거 시흥사거리점 신규오픈 아르바이트 모집합니다.,시간협의,"시급8,900",1시간전
서울 은평구,노브랜드버거 연신내점 평일 오후 근무자 모집,16:00~20:30,"시급8,900",1시간전
서울 금천구,(주)신세계푸드 노브랜드버거 시흥사거리점 신규오픈 아르바이트 모집합니다.,시간협의,"시급8,900",1시간전
서울 성북구,노브랜드버거 종로구청점 파트타이머 모집,10:00~14:30,"시급8,900",2시간전
서울 강남구,노브랜드버거 양재역점,11:00~23:00,"시급8,900",2시간전
서울 서대문,보노보노스시 성수점 주방직원  모집,11:00~21:30,"월급2,100,000",2시간전
서울 중구,노브랜드버거 서울시청점 마감 근무자 모집,16:30~22:30,"시급8,900",2시간전
서울 전체,보노보노스시 성수점 주방직원  모집,11:00~21:30,"월급2,100,000",3시간전
서울 서대문,노브랜드버거 신촌점 평일 화수 마감파트 / 주말파트 아르바이트 구인합니다,18:30~23:00,"시급8,900",3시간전
서울 광진구,보노보노스시 성수점 주방직원  모집,11:00~21:30,"월급2,050,000",3시간전
경기 김포시,NBB/노브랜드버거 김포장기점/보건증필수/ 월화수목금/토일,18:00~22:00,"시급8,900",3시간전
서울 광진구,노브랜드버거 건대입구점 조리파트 주니어파트너 구인,시간협의,"시급8,900",4시간전
서울 전체,노브랜드버거 코엑스점 파트타이머 채용,17:00~22:30,"시급8,900",21시간전
서울 송파구,[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집,시간협의,"시급8,900",03/02
서울 관악구,[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집,시간협의,"시급8,900",03/02
서울 강남구,[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집,시간협의,"시급8,900",03/02
서울 전체,[NBB 역삼역점] 주 2일 ~ 주 5일(요일/시간 협의) 근무자 모집,시간협의,"시급8,900",03/02
서울 전체,노브랜드 버거 목동역점,시간협의,"시급8,900",03/01
서울 전체,(주)신세계푸드 보노보노 삼성점 경력 조리사 모집,08:00~17:00,"월급2,000,130",03/01
서울 전체,(주)신세계푸드 보노보노 삼성점 동종업계 경력자 조리사 모집,13:00~22:00,"월급2,000,130",02/28
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,13:30~22:30,"시급8,900",02/28
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,10:00~15:30,"시급8,900",02/27
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,10:00~19:00,"시급8,900",02/21
서울 금천구,노브랜드버거 가산디지털단지점 파트타이머 모집,11:00~14:00,"시급8,900",02/20
