location,title,time,pay,last registerd
서울 마포구,[합정점/얼맥당/멀티직원모집합니다],14:00~23:00,"월급2,200,000",3시간전
서울 영등포,얼맥당 문래점에서 함께할 매니져/직원 모집합니다,14:30~00:30,"월급2,600,000",5시간전
광주 동구,"얼맥당 광주구시청점  단기서빙하실  분 모집(2월 27,28/3월1일 3일)",19:30~00:00,"시급9,000",03/02
서울 마포구,[합정점/얼맥당/멀티직원모집합니다],14:00~23:00,"월급2,200,000",03/02
서울 마포구,합정점/얼맥당/멀티직원모집합니다,14:00~23:00,"월급2,200,000",02/27
서울 마포구,얼맥당합정점/평일/주말알바구합니다,18:00~22:00,"시급10,464",02/23
서울 마포구,스몰비어 얼맥당 홍대점  알바 모집합니다,18:00~21:00,"시급8,720",02/23
서울 마포구,얼맥당 홍대점  알바 모집합니다,19:00~22:00,"시급8,720",02/23
서울 마포구,[얼맥당 상암점] 성실하게 근무할 직원 구합니다.,17:00~22:00,"시급9,000",02/23
서울 마포구,[얼맥당 상암점] 성실하게 근무할 직원 구합니다.,17:00~22:00,"시급9,000",02/23
서울 마포구,[얼맥당 상암점] 성실하게 근무할 직원 구합니다.,17:00~22:00,"시급9,000",02/23
서울 마포구,[얼맥당 상암점] 성실하게 근무할 직원 구합니다.,17:00~22:00,"시급9,000",02/23
