location,title,time,pay,last registerd
경기 오산시,윈윈파트너 오산궐동2지점에서 가족같은직원모집중입니다/바이크지원/최저수수료,시간협의,"일급150,000",46분전
부산 남구,윈윈파트너 남구대연2호점 라이더구합니다,시간협의,"일급150,000",59분전
부산 남구,윈윈파트너남구대연2호점[심야 새벽반],시간협의,"월급4,000,000",59분전
부산 남구,윈윈파트너 대연2호점 기사모집합니다.,시간협의,"월급3,500,000",1시간전
인천 전체,"인천,배달대행,배달,윈윈파트너 직원모십니다",시간협의,"일급250,000",2시간전
인천 전체,"인천,배달대행,배달,윈윈파트너 직원모십니다",시간협의,"일급250,000",2시간전
부산 전체,WINWIN파트너 부산남구 대연4호점 라이더 모집합니다,시간협의,"일급120,000",2시간전
부산 전체,배달대행 윈윈파트너(남구수영4호점) 기사 모집합니다 / 부산 수영구,시간협의,"월급3,500,000",2시간전
부산 전체,배달대행 윈윈파트너(남구수영4호점) 기사 모집합니다 / 부산 수영구,시간협의,"월급3,500,000",2시간전
인천 남동구,[월300-500]윈윈파트너 모래네점에서 라이더 모집합니다/초보가능/배달,시간협의,"일급150,000",2시간전
충남 논산시,[월 300만~500만 / 논산 배달대행 No.1 윈윈파트너 / 기사모집],시간협의,"월급4,000,000",3시간전
충남 공주시,[월 300만~500만 / 논산 배달대행 No.1 윈윈파트너 / 기사모집],시간협의,"월급4,000,000",3시간전
인천 미추홀,미추홀구 (윈윈 배달대행 라이더) 모집-알바/투잡가능,시간협의,"일급200,000",3시간전
부산 전체,WINWIN파트너 부산남구 대연4호점 라이더 모집합니다,시간협의,"일급120,000",4시간전
부산 전체,WINWIN파트너 부산남구 대연4호점 라이더 모집합니다,시간협의,"일급120,000",4시간전
인천 남동구,[월300-500]윈윈파트너 모래네점에서 라이더 모집합니다/초보가능/배달,시간협의,"일급150,000",4시간전
부산 남구,[최고단가][배달대행]부산남구대연1호점/기사급구,시간협의,"월급3,500,000",4시간전
부산 남구,[최고단가][배달대행]부산남구대연1호점/기사급구,시간협의,"월급3,500,000",4시간전
인천 남동구,윈윈파트너 주안점에서 기사님을  모집합니다.,시간협의,"일급200,000",6시간전
인천 남동구,윈윈파트너 주안점에서 기사님을  모집합니다.,시간협의,"일급200,000",6시간전
부산 연제구,"윈윈파트너 연제구[토곡점] 배달대행,퀵 기사 모집합니다. 연제구 내 최대물량",10:00~24:00,"일급200,000",6시간전
부산 연제구,"윈윈파트너 연제구[토곡점] 배달대행,퀵 기사 모집합니다. 연제구 내 최대물량",10:00~24:00,"일급200,000",6시간전
부산 연제구,"윈윈파트너 연제구[토곡점] 배달대행,퀵 기사 모집합니다. 연제구 내 최대물량",10:00~24:00,"일급200,000",6시간전
인천 미추홀,미추홀구 (윈윈 배달대행 라이더) 모집-알바/투잡가능,시간협의,"일급200,000",7시간전
부산 북구,윈윈파트너 북구점에서 함께 즐기실 직원 모집합니다,시간협의,"건별3,000",8시간전
부산 북구,윈윈파트너 [북구점] 함께 달리실 신입 라이더분 구합니다,시간협의,"건별3,000",8시간전
충남 부여군,[월 300만~500만 / 논산 배달대행 No.1 ＇윈윈파트너＇/ 기사모집],시간협의,"월급4,000,000",8시간전
충남 계룡시,[월 300만~500만 / 논산 배달대행 No.1 ＇윈윈파트너＇/ 기사모집],시간협의,"월급4,000,000",8시간전
인천 전체,"인천,배달대행,배달,윈윈파트너 직원모십니다",시간협의,"일급250,000",8시간전
서울 마포구,배달대행 이젠 즐기면서 돈버세요,10:00~03:00,"월급4,500,000",03/02
서울 마포구,배달대행 이젠 즐기면서 돈버세요,10:00~03:00,"월급4,500,000",03/02
서울 마포구,배달대행 이젠 즐기면서 돈버세요,10:00~03:00,"월급4,500,000",03/02
서울 은평구,배달대행 이젠 즐기면서 돈버세요,10:00~03:00,"월급4,500,000",03/02
서울 은평구,배달대행 이젠 즐기면서 돈버세요,10:00~03:00,"월급4,500,000",03/02
부산 전체,"윈윈파트너[연산1호점]배달대행,퀵기사모집합니다 연제구최초 사직,온천 구역할증",시간협의,"일급200,000",03/01
부산 전체,"윈윈파트너[연산1호점]배달대행,퀵기사모집합니다.",시간협의,"일급200,000",03/01
부산 남구,(윈윈파트너 용호점) 평일2000콜이상 됩니다 기사님들 오세요,시간협의,"월급4,500,000",03/01
부산 전체,"(윈윈파트너 용당,감만점)경력자,초보자환영,여성라이더우대",시간협의,"일급160,000",03/01
부산 남구,(윈윈파트너 용호점) 평일2000콜이상 됩니다 기사님들 오세요,시간협의,"월급4,500,000",03/01
부산 전체,[윈윈파트너 남구점] 하루2000콜이상 콜이 너무 많은업체 도와주세요,시간협의,"일급150,000",03/01
