location,title,time,pay,last registerd
경남 양산시,[양산이마트] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",2시간전
서울 중구,[명동롯데] 피그먼트 의류매장 단기 아르바이트 채용,11:00~20:30,"시급8,720",5시간전
서울 강북구,[미아롯데] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",5시간전
서울 강북구,[미아롯데] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",5시간전
세종 전체,[세종 로드샵] 피그먼트 의류매장 STAFF 채용,11:00~21:00,"월급2,500,000",03/02
부산 해운대,[해운대홈플러스] 피그먼트 의류매장 아르바이트 채용,시간협의,"시급8,720",02/28
부산 해운대,[해운대홈플러스] 피그먼트 의류매장 아르바이트 채용,시간협의,"시급8,720",02/28
대구 중구,[대구공평동] 피그먼트 의류매장 주말아르바이트 채용,12:00~21:00,"시급8,720",02/28
경기 화성시,[경기/동탄] 단순노무/의류 검품 및 물류 채용,09:00~18:00,"시급8,720",02/27
경기 평택시,[평택애경] 피그먼트 의류매장 직원 채용,10:00~20:00,"월급1,900,000",02/27
서울 성동구,[서울/성수동] 카페 직원(매니저/바리스타/직원) 모집,시간협의,"시급8,720",02/26
경기 김포시,[김포한강이마트] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",02/26
경기 안산시,[안산롯데] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",02/20
경기 수원시,[수원애경] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",02/19
경기 수원시,[수원애경] 피그먼트 의류매장 STAFF 채용,10:00~20:00,"월급1,900,000",02/19
