location,title,time,pay,last registerd
경기 평택시,청년다방 고덕신도시점,18:00~22:00,"시급9,500",7분전
경기 평택시,청년다방 고덕신도시점,18:00~22:00,"시급9,500",8분전
서울 노원구,청년다방 노원역점 홀서빙 구인,12:00~23:00,"월급2,200,000",40분전
경기 평택시,청년다방 고덕신도시점,18:00~22:00,"시급9,500",1시간전
경기 성남시,청년다방 서현역점 주말오전 급구 시급 9000원,10:00~14:00,"시급9,000",2시간전
충북 청주시,청년다방지웰시티점 직원,시간협의,"시급8,720",2시간전
충북 청주시,청년다방지웰시티점 직원,시간협의,"시급8,720",2시간전
충북 청주시,청년다방지웰시티점 직원및 파트타이머 모집,시간협의,"시급8,720",2시간전
충남 아산시,은화수식당/아산터미널/평일 오전 홀서빙 구함,11:00~14:00,"시급8,720",5시간전
충남 천안시,홀서빙(여)주5일구함,12:00~22:00,"시급8,720",6시간전
경기 용인시,청년다방 용인동천점 홀알바모집,18:00~22:00,"시급8,800",6시간전
충남 아산시,은화수식당/아산터미널/평일 오전 홀서빙 구함,11:00~14:00,"시급8,720",7시간전
대전 서구,직원구합니다.,10:30~22:30,"월급2,400,000",7시간전
강원 강릉시,강릉 청년다방 주방 직원 구합니다.(주5일),11:00~22:30,"월급2,200,000",7시간전
강원 강릉시,청년다방 주방 직원 구합니다.(주6일),11:00~22:30,"월급2,600,000",8시간전
경기 평택시,청년다방 고덕신도시점,18:00~22:00,"시급9,500",8시간전
전북 군산시,청년다방 군산미장점 주방 알바 모집합니다.,17:30~22:00,"시급8,720",11시간전
인천 중구,청년다방 영종하늘도시점 홀 파트타임 모집합니다.,17:30~21:30,"시급8,720",22시간전
경기 평택시,청년다방 고덕신도시점,18:00~22:00,"시급9,500",02/27
전북 군산시,청년다방 미장점 홀 알바 모집합니다.,17:30~22:00,"시급8,720",02/27
경기 남양주,주방직원및 매장알바 모집합니다.,시간협의,"시급8,720",02/26
서울 영등포,주말알바.목금토일오후알바 구합니다,18:30~21:30,"시급8,720",02/26
충남 천안시,주방보조  평일오후알바(남)주4일,18:30~22:00,"시급9,000",02/24
경기 성남시,청년다방판교점  홀서빙 알바 구합니다.,11:00~15:00,"시급10,000",02/22
경기 안양시,"[홀서빙]청년다방 안양예술공원점(수,목,금 저녁)",16:00~20:00,"시급8,720",02/22
충남 천안시,은화수식당쌍용점 홀서빙 직원 모집합니다,10:30~21:00,"월급1,200,000",02/21
경기 안산시,청년다방안산선부점 평일3일 근무자 주방보조및 서비스응대자 모집,03:30~23:00,"시급8,720",02/21
